Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-421,Chrome 100.0.4896.127,User should be able to cancel downloading process,,2022-04-27 19:20:10,2022-04-27 19:23:39,3m - 28.787s,PASSED
,,,,,,,
Test Cases/Log-in/Log-in- 1,Chrome 100.0.4896.127,Log-in,,2022-04-27 19:20:11,2022-04-27 19:20:30,18.751s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-04-27 19:20:12,2022-04-27 19:20:18,6.241s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-04-27 19:20:18,2022-04-27 19:20:21,2.950s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-04-27 19:20:21,2022-04-27 19:20:22,0.232s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-27 19:20:22,2022-04-27 19:20:24,2.132s,PASSED
"setText(findTestObject(""001-Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-04-27 19:20:24,2022-04-27 19:20:27,3.659s,PASSED
"setText(findTestObject(""001-Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-04-27 19:20:27,2022-04-27 19:20:29,1.465s,PASSED
"click(findTestObject(""001-Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-04-27 19:20:29,2022-04-27 19:20:30,0.756s,PASSED
,,,,,,,
Test Cases/Sprint 3/FCSCMS-143/FCSCMS-421,Chrome 100.0.4896.127,User should be able to cancel downloading process,,2022-04-27 19:20:30,2022-04-27 19:23:39,3m - 9.103s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-143/FCSCMS-421/a_Privilege Group Management""))",Chrome 100.0.4896.127,,,2022-04-27 19:20:31,2022-04-27 19:21:07,35.915s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-143/FCSCMS-421/PVM_XLS Download button""))",Chrome 100.0.4896.127,,,2022-04-27 19:21:07,2022-04-27 19:21:37,30.438s,PASSED
"setText(findTestObject(""Sprint 3/FCSCMS-143/FCSCMS-421/PVM_File name field""), ""Cancel download"")",Chrome 100.0.4896.127,,,2022-04-27 19:21:37,2022-04-27 19:22:38,1m - 0.539s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-143/FCSCMS-421/PVM_Cancel""))",Chrome 100.0.4896.127,,,2022-04-27 19:22:38,2022-04-27 19:23:08,30.346s,PASSED
"verifyTextNotPresent(""Cancel download"", false)",Chrome 100.0.4896.127,,,2022-04-27 19:23:08,2022-04-27 19:23:39,30.537s,PASSED
