Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-408,Chrome 100.0.4896.127,User should be able to search user through advance search features,,2022-04-21 21:20:48,2022-04-21 21:36:05,15m - 17.340s,FAILED
,,,,,,,
Test Cases/Log-in/Log-in- 1,Chrome 100.0.4896.127,Log-in,,2022-04-21 21:20:49,2022-04-21 21:21:05,16.885s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-04-21 21:20:50,2022-04-21 21:20:56,6.130s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-04-21 21:20:56,2022-04-21 21:20:59,3.455s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-04-21 21:20:59,2022-04-21 21:20:59,0.279s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-21 21:20:59,2022-04-21 21:21:02,2.088s,PASSED
"setText(findTestObject(""Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-04-21 21:21:02,2022-04-21 21:21:04,2.255s,PASSED
"setText(findTestObject(""Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-04-21 21:21:04,2022-04-21 21:21:05,0.999s,PASSED
"click(findTestObject(""Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-04-21 21:21:05,2022-04-21 21:21:05,0.619s,PASSED
,,,,,,,
Test Cases/Sprint 3/FCSCMS-58/FCSCMS-408,Chrome 100.0.4896.127,User should be able to search user through advance search features,,2022-04-21 21:21:05,2022-04-21 21:36:05,14m - 59.717s,FAILED
delay(2),Chrome 100.0.4896.127,,,2022-04-21 21:21:07,2022-04-21 21:21:09,2.023s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-58/FCSCMS-407,462/User Account Management""))",Chrome 100.0.4896.127,,,2022-04-21 21:21:09,2022-04-21 21:21:42,33.819s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-21 21:21:42,2022-04-21 21:21:44,2.008s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-58/FCSCMS-408, 409/Advanced Search button""))",Chrome 100.0.4896.127,,,2022-04-21 21:21:44,2022-04-21 21:22:15,30.433s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-21 21:22:15,2022-04-21 21:22:17,2.027s,PASSED
"setText(findTestObject(""Sprint 3/FCSCMS-58/FCSCMS-408, 409/User Login Name field""), ""anonymous"")",Chrome 100.0.4896.127,,,2022-04-21 21:22:17,2022-04-21 21:23:17,1m - 0.518s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-21 21:23:17,2022-04-21 21:23:19,2.020s,PASSED
"setText(findTestObject(""Sprint 3/FCSCMS-58/FCSCMS-408, 409/User Name field""), ""Anon User"")",Chrome 100.0.4896.127,,,2022-04-21 21:23:19,2022-04-21 21:24:20,1m - 0.587s,PASSED
"selectOptionByLabel(findTestObject(""Sprint 3/FCSCMS-58/FCSCMS-408, 409/Privelege Group Dropdown""), ""Values Reader"", false)",Chrome 100.0.4896.127,,,2022-04-21 21:24:20,2022-04-21 21:25:21,1m - 0.494s,PASSED
