Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"FCSCMS-124(User, Role and Access Management- Deactivate User)",Chrome 100.0.4896.127,,,2022-05-02 20:38:40,2022-05-02 20:44:57,6m - 17.060s,FAILED
,,,,,,,
Test Cases/Log-in/Log-in- 1,Chrome 100.0.4896.127,Log-in,,2022-05-02 20:38:41,2022-05-02 20:38:56,15.203s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-02 20:38:42,2022-05-02 20:38:47,4.866s,PASSED
"navigateToUrl(""https://nexterus-dev.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-05-02 20:38:47,2022-05-02 20:38:49,2.408s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-05-02 20:38:49,2022-05-02 20:38:49,0.265s,PASSED
delay(1),Chrome 100.0.4896.127,,,2022-05-02 20:38:49,2022-05-02 20:38:51,1.135s,PASSED
"setText(findTestObject(""001-Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-02 20:38:51,2022-05-02 20:38:55,3.974s,PASSED
"setText(findTestObject(""001-Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-02 20:38:55,2022-05-02 20:38:55,0.974s,PASSED
"click(findTestObject(""001-Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-05-02 20:38:55,2022-05-02 20:38:56,0.645s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-124/FCSCMS-487(Admin user is able to log in using valid credentials),Chrome 100.0.4896.127,,,2022-05-02 20:38:56,2022-05-02 20:39:09,12.452s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-02 20:38:57,2022-05-02 20:39:01,3.241s,PASSED
"navigateToUrl(""https://nexterus-dev.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-05-02 20:39:01,2022-05-02 20:39:03,2.248s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-05-02 20:39:03,2022-05-02 20:39:03,0.223s,PASSED
delay(1),Chrome 100.0.4896.127,,,2022-05-02 20:39:03,2022-05-02 20:39:04,1.009s,PASSED
"setText(findTestObject(""001-Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-02 20:39:04,2022-05-02 20:39:07,3.007s,PASSED
"setText(findTestObject(""001-Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-02 20:39:07,2022-05-02 20:39:08,1.035s,PASSED
"click(findTestObject(""001-Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-05-02 20:39:08,2022-05-02 20:39:09,0.543s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-124/FCSCMS-488(User is able to click User and Account Management option from the left navigation panel),Chrome 100.0.4896.127,,,2022-05-02 20:39:09,2022-05-02 20:39:18,9.189s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-122/User Account Management""))",Chrome 100.0.4896.127,,,2022-05-02 20:39:09,2022-05-02 20:39:18,8.357s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-124/FCSCMS-489(Admin user is able to click Edit button),Chrome 100.0.4896.127,,,2022-05-02 20:39:18,2022-05-02 20:41:51,2m - 32.746s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-123/Edit button_ANONYMOUS USER""))",Chrome 100.0.4896.127,,,2022-05-02 20:39:19,2022-05-02 20:39:50,30.461s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 4/FCSCMS-123/Edit User_User Name""))",Chrome 100.0.4896.127,,,2022-05-02 20:39:50,2022-05-02 20:40:20,30.268s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 4/FCSCMS-123/Edit User_User Group""))",Chrome 100.0.4896.127,,,2022-05-02 20:40:20,2022-05-02 20:40:50,30.236s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 4/FCSCMS-123/Edit User_Mobile Number field""))",Chrome 100.0.4896.127,,,2022-05-02 20:40:50,2022-05-02 20:41:20,30.262s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 4/FCSCMS-123/Edit User_Email""))",Chrome 100.0.4896.127,,,2022-05-02 20:41:20,2022-05-02 20:41:51,30.217s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-124/FCSCMS-490(Admin user is able to click deactivate button),Chrome 100.0.4896.127,,,2022-05-02 20:41:51,2022-05-02 20:42:52,1m - 1.187s,FAILED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-123/User Account Management""))",Chrome 100.0.4896.127,,,2022-05-02 20:41:51,2022-05-02 20:42:52,1m - 0.481s,FAILED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-124/FCSCMS-491(Admin user is able to cancel deactivation process),Chrome 100.0.4896.127,,,2022-05-02 20:42:52,2022-05-02 20:43:53,1m - 1.245s,FAILED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-124/Deactivate_No""))",Chrome 100.0.4896.127,,,2022-05-02 20:42:53,2022-05-02 20:43:53,1m - 0.439s,FAILED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-124/FCSCMS-492(Admin user is able to Deactivate user status),Chrome 100.0.4896.127,,,2022-05-02 20:43:53,2022-05-02 20:44:57,1m - 4.298s,FAILED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-124/Deactivate(fet automation)""))",Chrome 100.0.4896.127,,,2022-05-02 20:43:54,2022-05-02 20:44:57,1m - 3.528s,FAILED
