Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-416,Chrome 100.0.4896.127,User should be prompt after clicking yes button,,2022-04-26 21:38:24,2022-04-26 21:40:44,2m - 20.247s,PASSED
,,,,,,,
Test Cases/Log-in/Log-in- 1,Chrome 100.0.4896.127,Log-in,,2022-04-26 21:38:24,2022-04-26 21:38:37,13.223s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-04-26 21:38:25,2022-04-26 21:38:30,4.466s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-04-26 21:38:30,2022-04-26 21:38:32,2.439s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-04-26 21:38:32,2022-04-26 21:38:32,0.214s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-26 21:38:32,2022-04-26 21:38:34,2.088s,PASSED
"setText(findTestObject(""001-Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-04-26 21:38:34,2022-04-26 21:38:36,1.394s,PASSED
"setText(findTestObject(""001-Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-04-26 21:38:36,2022-04-26 21:38:37,1.025s,PASSED
"click(findTestObject(""001-Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-04-26 21:38:37,2022-04-26 21:38:37,0.694s,PASSED
,,,,,,,
Test Cases/Sprint 3/FCSCMS-65/FCSCMS-416,Chrome 100.0.4896.127,User should be prompt after clicking yes button,,2022-04-26 21:38:37,2022-04-26 21:40:44,2m - 6.363s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-58/FCSCMS-407,462/User Account Management""))",Chrome 100.0.4896.127,,,2022-04-26 21:38:39,2022-04-26 21:39:13,33.994s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-58/FCSCMS-410/Add New User""))",Chrome 100.0.4896.127,,,2022-04-26 21:39:13,2022-04-26 21:39:43,30.472s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-65/FCSCMS-416/Create User_Save""))",Chrome 100.0.4896.127,,,2022-04-26 21:39:43,2022-04-26 21:40:13,30.398s,PASSED
"verifyElementVisible(findTestObject(""Sprint 3/FCSCMS-65/FCSCMS-416/Create new user confirmation message""))",Chrome 100.0.4896.127,,,2022-04-26 21:40:13,2022-04-26 21:40:44,30.351s,PASSED
