Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-412,Chrome 100.0.4896.127,User should be able to navigate pages from first page to last,,2022-04-26 14:46:49,2022-04-26 14:55:43,8m - 53.639s,PASSED
,,,,,,,
Test Cases/Log-in/Log-in- 1,Chrome 100.0.4896.127,Log-in,,2022-04-26 14:46:49,2022-04-26 14:47:03,13.742s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-04-26 14:46:50,2022-04-26 14:46:55,4.260s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-04-26 14:46:55,2022-04-26 14:46:57,2.572s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-04-26 14:46:57,2022-04-26 14:46:57,0.231s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-26 14:46:57,2022-04-26 14:47:00,2.109s,PASSED
"setText(findTestObject(""Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-04-26 14:47:00,2022-04-26 14:47:02,1.988s,PASSED
"setText(findTestObject(""Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-04-26 14:47:02,2022-04-26 14:47:03,1.015s,PASSED
"click(findTestObject(""Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-04-26 14:47:03,2022-04-26 14:47:03,0.662s,PASSED
,,,,,,,
Test Cases/Sprint 3/FCSCMS-59/FCSCMS-412,Chrome 100.0.4896.127,User should be able to navigate pages from first page to last,,2022-04-26 14:47:03,2022-04-26 14:55:43,8m - 39.294s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/User Account Management""))",Chrome 100.0.4896.127,,,2022-04-26 14:47:04,2022-04-26 14:47:40,35.506s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Page number_2""))",Chrome 100.0.4896.127,,,2022-04-26 14:47:40,2022-04-26 14:48:10,30.411s,PASSED
"verifyElementVisible(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Username_Page 2 verification""))",Chrome 100.0.4896.127,,,2022-04-26 14:48:10,2022-04-26 14:48:40,30.321s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Page number_1""))",Chrome 100.0.4896.127,,,2022-04-26 14:48:40,2022-04-26 14:49:11,30.314s,PASSED
"verifyElementVisible(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Username_Page 1 verification""))",Chrome 100.0.4896.127,,,2022-04-26 14:49:11,2022-04-26 14:49:41,30.256s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Right arrow button""))",Chrome 100.0.4896.127,,,2022-04-26 14:49:41,2022-04-26 14:50:11,30.323s,PASSED
"verifyElementVisible(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Username_Page 2 verification""))",Chrome 100.0.4896.127,,,2022-04-26 14:50:11,2022-04-26 14:50:41,30.272s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Left arrow button""))",Chrome 100.0.4896.127,,,2022-04-26 14:50:41,2022-04-26 14:51:12,30.286s,PASSED
"verifyElementVisible(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Username_Page 1 verification""))",Chrome 100.0.4896.127,,,2022-04-26 14:51:12,2022-04-26 14:51:40,28.590s,PASSED
"setText(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Page number search field""), ""2"")",Chrome 100.0.4896.127,,,2022-04-26 14:51:40,2022-04-26 14:52:41,1m - 0.528s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Page number search button""))",Chrome 100.0.4896.127,,,2022-04-26 14:52:41,2022-04-26 14:53:11,30.333s,PASSED
"verifyElementVisible(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Username_Page 2 verification""))",Chrome 100.0.4896.127,,,2022-04-26 14:53:11,2022-04-26 14:53:41,30.260s,PASSED
"setText(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Page number search field""), ""1"")",Chrome 100.0.4896.127,,,2022-04-26 14:53:41,2022-04-26 14:54:42,1m - 0.480s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Page number search button""))",Chrome 100.0.4896.127,,,2022-04-26 14:54:42,2022-04-26 14:55:12,30.297s,PASSED
"verifyElementVisible(findTestObject(""Sprint 3/FCSCMS-59/FCSCMS-412/Username_Page 1 verification""))",Chrome 100.0.4896.127,,,2022-04-26 14:55:12,2022-04-26 14:55:42,30.291s,PASSED
