Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-403,Chrome 100.0.4896.127,The user has the option to set privilege status to activate,,2022-04-22 21:32:58,2022-04-22 21:34:58,2m - 0.274s,FAILED
,,,,,,,
Test Cases/Log-in/Log-in- 1,Chrome 100.0.4896.127,Log-in,,2022-04-22 21:32:59,2022-04-22 21:33:18,19.020s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-04-22 21:33:00,2022-04-22 21:33:06,5.558s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-04-22 21:33:06,2022-04-22 21:33:12,5.776s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-04-22 21:33:12,2022-04-22 21:33:12,0.305s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-22 21:33:12,2022-04-22 21:33:14,2.113s,PASSED
"setText(findTestObject(""Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-04-22 21:33:14,2022-04-22 21:33:16,2.354s,PASSED
"setText(findTestObject(""Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-04-22 21:33:16,2022-04-22 21:33:17,1.075s,PASSED
"click(findTestObject(""Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-04-22 21:33:17,2022-04-22 21:33:18,0.666s,PASSED
,,,,,,,
Test Cases/Sprint 3/FCSCMS-6/FCSCMS-403,Chrome 100.0.4896.127,The user has the option to set privilege status to activate,,2022-04-22 21:33:18,2022-04-22 21:34:58,1m - 40.386s,FAILED
"click(findTestObject(""Sprint 3/FCSCMS-403/FCSCMS-403/a_Privilege Group Management""))",Chrome 100.0.4896.127,,,2022-04-22 21:33:19,2022-04-22 21:33:27,7.609s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-403/FCSCMS-403/Activate button(fet automation)""))",Chrome 100.0.4896.127,,,2022-04-22 21:33:27,2022-04-22 21:33:57,30.651s,PASSED
"click(findTestObject(""Sprint 3/FCSCMS-403/FCSCMS-403/Activate_Yes button""))",Chrome 100.0.4896.127,,,2022-04-22 21:33:57,2022-04-22 21:34:28,30.354s,PASSED
"verifyElementNotVisible(findTestObject(""Sprint 3/FCSCMS-403/FCSCMS-403/Activate button(fet automation)""))",Chrome 100.0.4896.127,,,2022-04-22 21:34:28,2022-04-22 21:34:58,30.763s,FAILED
