Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"FCSCMS-123(User, Role and Access Management-Activate User)",Chrome 100.0.4896.127,,,2022-05-02 16:43:06,2022-05-02 16:47:27,4m - 21.862s,FAILED
,,,,,,,
Test Cases/Log-in/Log-in- 1,Chrome 100.0.4896.127,Log-in,,2022-05-02 16:43:06,2022-05-02 16:43:19,13.089s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-02 16:43:07,2022-05-02 16:43:11,4.314s,PASSED
"navigateToUrl(""https://nexterus-dev.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-05-02 16:43:11,2022-05-02 16:43:14,2.362s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-05-02 16:43:14,2022-05-02 16:43:14,0.238s,PASSED
delay(1),Chrome 100.0.4896.127,,,2022-05-02 16:43:14,2022-05-02 16:43:15,1.095s,PASSED
"setText(findTestObject(""001-Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-02 16:43:15,2022-05-02 16:43:18,2.429s,PASSED
"setText(findTestObject(""001-Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-02 16:43:18,2022-05-02 16:43:19,1.026s,PASSED
"click(findTestObject(""001-Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-05-02 16:43:19,2022-05-02 16:43:19,0.669s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-123/FCSCMS-484(Admin user is able to click activate button),Chrome 100.0.4896.127,,,2022-05-02 16:43:19,2022-05-02 16:44:55,1m - 35.462s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-123/User Account Management""))",Chrome 100.0.4896.127,,,2022-05-02 16:43:21,2022-05-02 16:43:54,33.417s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-123/Activate button(fet automation)""))",Chrome 100.0.4896.127,,,2022-05-02 16:43:54,2022-05-02 16:44:24,30.420s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 4/FCSCMS-123/Activate_Confirmation message""))",Chrome 100.0.4896.127,,,2022-05-02 16:44:24,2022-05-02 16:44:55,30.332s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-123/FCSCMS-485(Admin user is able to cancel activation process),Chrome 100.0.4896.127,,,2022-05-02 16:44:55,2022-05-02 16:45:56,1m - 1.203s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-123/Activate_No(fet automation)""))",Chrome 100.0.4896.127,,,2022-05-02 16:44:55,2022-05-02 16:45:26,30.289s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 4/FCSCMS-123/Verification_Active""))",Chrome 100.0.4896.127,,,2022-05-02 16:45:26,2022-05-02 16:45:56,30.284s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-123/FCSCMS-486(Admin user is able to Activate user),Chrome 100.0.4896.127,,,2022-05-02 16:45:56,2022-05-02 16:47:27,1m - 31.439s,FAILED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-123/Activate button(fet automation)""))",Chrome 100.0.4896.127,,,2022-05-02 16:45:57,2022-05-02 16:46:27,30.246s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-123/Activate_Yes(fet automation)""))",Chrome 100.0.4896.127,,,2022-05-02 16:46:27,2022-05-02 16:47:27,1m - 0.518s,FAILED
